"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,8,97697810,0.9,1,8160330
2017,5,97517139,2.9,1,8132547
2017,5,97529851,0.24,1,8134169
2017,17,97539931,2,9,8135625
2017,16,97539931,1,9,8135624
2017,5,97539931,152.62,1,8135623
2017,12,97540108,0.29,1,8135654
2017,5,97543265,594.92,1,8135975
2017,5,97710542,2.6,1,8161950
2017,5,97731471,0.14,3,8165653
2017,5,97677884,0.15,3,8157807
2017,5,97689857,0.706,3,8159075
2017,2,97689857,5.5,1,8159074
2017,5,97693643,0.092,3,8159613
2017,5,97700424,1,1,8160661
2017,5,97705986,1,1,8161304
2017,5,97623134,0.09,3,8149741
2017,5,97631345,0.2,3,8151208
2017,4,97656471,0.95,1,8155361
2017,1,97656471,3.88,1,8155360
2017,16,97657066,0.9,1,8155459
2017,5,97657066,0.08,3,8155460
2017,12,97657066,1.2,1,8155458
2017,5,97663688,17.466,3,8156169
2017,12,97688369,0.51,1,8158872
2017,5,97698307,10.4,1,8160413
2017,12,97715814,0.9,1,8163056
2017,5,102524565,70.8,1,8891723
2017,4,102524565,1.5,1,8891724
2017,12,97684286,0.013,3,8158171
2017,5,97697672,0.401,3,8160269
2017,5,97694052,0.32,3,8159716
2017,4,97694083,3.2,1,8159726
2017,5,97694083,0.27,3,8159728
2017,5,101882766,0.08,3,8783982
2017,15,97709669,3,9,8161759
2017,5,97709669,82.8,1,8161760
2017,16,101880572,8.4,1,8783619
2017,5,101880254,0.2,1,8783528
2017,5,101883756,1.56,1,8784266
2017,5,97487240,0.25,3,8128052
2017,16,101880573,0.5,9,8783620
2017,17,101858798,,,8780198
2017,5,97618404,8,1,8148500
2017,8,101874759,0.5,9,8782777
2017,5,101878808,2,1,8783210
2017,13,101879423,0.8,1,8783348
2017,12,101879423,0.5,1,8783344
2017,5,101850990,0.025,3,8778705
